gene.id,gene.name,function
ENSG00000135439.11,AGAP2,protein coding
ENSG00000135452.9,TSPAN31,protein coding
ENSG00000135446.16,CDK4,protein coding
ENSG00000139266.5,9-Mar,protein coding
ENSG00000111012.9,CYP27B1,protein coding
ENSG00000037897.16,METTL1,protein coding
ENSG00000123427.16,METTL21B,protein coding
ENSG00000123297.17,TSFM,protein coding
ENSG00000135407.10,AVIL,protein coding
ENSG00000175215.10,CTDSP2,protein coding
ENSG00000166896.7,ATP23,protein coding
ENSG00000139263.11,LRIG3,protein coding
ENSG00000118596.11,SLC16A7,protein coding
ENSG00000198673.10,FAM19A2,protein coding
ENSG00000135655.15,USP15,protein coding
ENSG00000061987.14,MON2,protein coding
ENSG00000111110.11,PPM1H,protein coding
ENSG00000166148.3,AVPR1A,protein coding
ENSG00000177990.11,DPY19L2,protein coding
ENSG00000118600.11,TMEM5,protein coding
ENSG00000196935.8,SRGAP1,protein coding
ENSG00000174206.12,C12orf66,protein coding
ENSG00000185306.12,C12orf56,protein coding
ENSG00000184575.11,XPOT,protein coding
ENSG00000183735.9,TBK1,protein coding
ENSG00000153179.12,RASSF3,protein coding
ENSG00000135677.10,GNS,protein coding
ENSG00000111490.12,TBC1D30,protein coding
ENSG00000156076.9,WIF1,protein coding
ENSG00000174106.2,LEMD3,protein coding
ENSG00000174099.10,MSRB3,protein coding
ENSG00000149948.13,HMGA2,protein coding
ENSG00000139233.6,LLPH,protein coding
ENSG00000155957.17,TMBIM4,protein coding
ENSG00000090376.10,IRAK3,protein coding
ENSG00000127311.9,HELB,protein coding
ENSG00000155974.11,GRIP1,protein coding
ENSG00000111530.12,CAND1,protein coding
ENSG00000127334.10,DYRK2,protein coding
ENSG00000111537.4,IFNG,protein coding
ENSG00000111536.4,IL26,protein coding
ENSG00000127318.10,IL22,protein coding
ENSG00000111554.14,MDM1,protein coding
ENSG00000127314.17,RAP1B,protein coding
ENSG00000111581.9,NUP107,protein coding
ENSG00000175782.9,SLC35E3,protein coding
ENSG00000135679.22,MDM2,protein coding
ENSG00000135678.11,CPM,protein coding
ENSG00000111605.16,CPSF6,protein coding
ENSG00000090382.6,LYZ,protein coding
ENSG00000127337.6,YEATS4,protein coding
ENSG00000166225.8,FRS2,protein coding
ENSG00000166226.12,CCT2,protein coding
ENSG00000198812.4,LRRC10,protein coding
ENSG00000127325.18,BEST3,protein coding
ENSG00000127328.21,RAB3IP,protein coding
ENSG00000166268.10,MYRFL,protein coding
ENSG00000111596.11,CNOT2,protein coding
ENSG00000135643.4,KCNMB4,protein coding
ENSG00000127329.15,PTPRB,protein coding
ENSG00000153233.12,PTPRR,protein coding
ENSG00000127324.8,TSPAN8,protein coding
ENSG00000139292.12,LGR5,protein coding
ENSG00000133858.15,ZFC3H1,protein coding
ENSG00000173451.6,THAP2,protein coding
ENSG00000139291.13,TMEM19,protein coding
ENSG00000080371.5,RAB21,protein coding
ENSG00000121749.15,TBC1D15,protein coding
ENSG00000139287.12,TPH2,protein coding
ENSG00000072657.8,TRHDE,protein coding
ENSG00000253719.3,ATXN7L3B,protein coding
ENSG00000166006.12,KCNC2,protein coding
ENSG00000180881.19,CAPS2,protein coding
ENSG00000173401.9,GLIPR1L1,protein coding
ENSG00000180481.10,GLIPR1L2,protein coding
ENSG00000139278.9,GLIPR1,protein coding
ENSG00000111615.13,KRR1,protein coding
ENSG00000139289.13,PHLDA1,protein coding
ENSG00000187109.13,NAP1L1,protein coding
ENSG00000179941.6,BBS10,protein coding
ENSG00000091039.16,OSBPL8,protein coding
ENSG00000186908.14,ZDHHC17,protein coding
ENSG00000175183.9,CSRP2,protein coding
ENSG00000165891.15,E2F7,protein coding
ENSG00000067798.14,NAV3,protein coding
ENSG00000067715.13,SYT1,protein coding
ENSG00000177425.10,PAWR,protein coding
ENSG00000058272.16,PPP1R12A,protein coding
ENSG00000165899.10,OTOGL,protein coding
ENSG00000139304.12,PTPRQ,protein coding
ENSG00000111046.3,MYF6,protein coding
ENSG00000111049.3,MYF5,protein coding
ENSG00000111052.7,LIN7A,protein coding
ENSG00000111058.7,ACSS3,protein coding
ENSG00000139220.16,PPFIA2,protein coding
ENSG00000133773.11,CCDC59,protein coding
ENSG00000127720.7,METTL25,protein coding
ENSG00000179104.8,TMTC2,protein coding
ENSG00000072041.16,SLC6A15,protein coding
ENSG00000231738.10,TSPAN19,protein coding
ENSG00000133640.18,LRRIQ1,protein coding
ENSG00000180318.3,ALX1,protein coding
ENSG00000198774.4,RASSF9,protein coding
ENSG00000133636.10,NTS,protein coding
ENSG00000182050.13,MGAT4C,protein coding
ENSG00000165805.9,C12orf50,protein coding
ENSG00000133641.17,C12orf29,protein coding
ENSG00000198707.14,CEP290,protein coding
ENSG00000139324.11,TMTC3,protein coding
ENSG00000049130.14,KITLG,protein coding
ENSG00000139318.7,DUSP6,protein coding
ENSG00000139323.13,POC1B,protein coding
ENSG00000257594.3,GALNT4,protein coding
ENSG00000070961.15,ATP2B1,protein coding
ENSG00000197651.4,CCER1,protein coding
ENSG00000083782.7,EPYC,protein coding
ENSG00000139330.5,KERA,protein coding
ENSG00000139329.4,LUM,protein coding
ENSG00000011465.16,DCN,protein coding
ENSG00000133639.4,BTG1,protein coding
ENSG00000205057.4,CLLU1OS,protein coding
ENSG00000257127.6,CLLU1,protein coding
ENSG00000214215.3,C12orf74,protein coding
ENSG00000187510.8,PLEKHG7,protein coding
ENSG00000102189.16,EEA1,protein coding
ENSG00000173598.13,NUDT4,protein coding
ENSG00000177889.9,UBE2N,protein coding
ENSG00000198015.12,MRPL42,protein coding
ENSG00000120833.13,SOCS2,protein coding
ENSG00000169372.12,CRADD,protein coding
ENSG00000136040.8,PLXNC1,protein coding
ENSG00000173588.14,CEP83,protein coding
ENSG00000057704.12,TMCC3,protein coding
ENSG00000184752.12,NDUFA12,protein coding
ENSG00000120798.16,NR2C1,protein coding
ENSG00000180263.13,FGD6,protein coding
ENSG00000028203.17,VEZT,protein coding
ENSG00000111142.13,METAP2,protein coding
ENSG00000136014.11,USP44,protein coding
ENSG00000074527.11,NTN4,protein coding
ENSG00000139343.10,SNRPF,protein coding
ENSG00000165972.12,CCDC38,protein coding
ENSG00000139344.7,AMDHD1,protein coding
ENSG00000084110.10,HAL,protein coding
ENSG00000111144.9,LTA4H,protein coding
ENSG00000111145.7,ELK3,protein coding
ENSG00000059758.7,CDK17,protein coding
ENSG00000188596.10,CFAP54,protein coding
ENSG00000139350.11,NEDD1,protein coding
ENSG00000120802.13,TMPO,protein coding
ENSG00000075415.12,SLC25A3,protein coding
ENSG00000166130.14,IKBIP,protein coding
ENSG00000120868.13,APAF1,protein coding
ENSG00000185046.18,ANKS1B,protein coding
ENSG00000180219.1,FAM71C,protein coding
ENSG00000111647.12,UHRF1BP1L,protein coding
ENSG00000075089.9,ACTR6,protein coding
ENSG00000166153.16,DEPDC4,protein coding
ENSG00000136021.18,SCYL2,protein coding
ENSG00000179520.10,SLC17A8,protein coding
ENSG00000012504.13,NR1H4,protein coding
ENSG00000139354.10,GAS2L3,protein coding
ENSG00000151572.16,ANO4,protein coding
ENSG00000256870.2,SLC5A8,protein coding
ENSG00000120800.4,UTP20,protein coding
ENSG00000120805.13,ARL1,protein coding
ENSG00000166211.7,SPIC,protein coding
ENSG00000196091.13,MYBPC1,protein coding
ENSG00000111666.10,CHPT1,protein coding
ENSG00000139351.14,SYCP3,protein coding
ENSG00000111670.14,GNPTAB,protein coding
ENSG00000136048.13,DRAM1,protein coding
ENSG00000120860.10,WASHC3,protein coding
ENSG00000075188.8,NUP37,protein coding
ENSG00000185480.11,PARPBP,protein coding
ENSG00000183395.4,PMCH,protein coding
ENSG00000017427.15,IGF1,protein coding
ENSG00000171759.9,PAH,protein coding
ENSG00000139352.3,ASCL1,protein coding
ENSG00000179088.14,C12orf42,protein coding
ENSG00000136011.14,STAB2,protein coding
ENSG00000111696.11,NT5DC3,protein coding
ENSG00000166598.14,HSP90B1,protein coding
ENSG00000204954.9,C12orf73,protein coding
ENSG00000139372.14,TDG,protein coding
ENSG00000120820.12,GLT8D2,protein coding
ENSG00000111727.11,HCFC2,protein coding
ENSG00000120837.7,NFYB,protein coding
ENSG00000198431.15,TXNRD1,protein coding
ENSG00000255150.2,EID3,protein coding
ENSG00000171310.10,CHST11,protein coding
ENSG00000136052.9,SLC41A2,protein coding
ENSG00000151131.10,C12orf45,protein coding
ENSG00000136010.13,ALDH1L2,protein coding
ENSG00000136051.13,WASHC4,protein coding
ENSG00000136044.11,APPL2,protein coding
ENSG00000235162.8,C12orf75,protein coding
ENSG00000074590.13,NUAK1,protein coding
ENSG00000136026.13,CKAP4,protein coding
ENSG00000166046.10,TCP11L2,protein coding
ENSG00000013503.9,POLR3B,protein coding
ENSG00000111783.12,RFX4,protein coding
ENSG00000111785.19,RIC8B,protein coding
ENSG00000151135.9,TMEM263,protein coding
ENSG00000120832.9,MTERF2,protein coding
ENSG00000008405.11,CRY1,protein coding
ENSG00000151136.14,BTBD11,protein coding
ENSG00000136045.11,PWP1,protein coding
ENSG00000110851.11,PRDM4,protein coding
ENSG00000187855.5,ASCL4,protein coding
ENSG00000075035.9,WSCD2,protein coding
ENSG00000174600.13,CMKLR1,protein coding
ENSG00000198855.6,FICD,protein coding
ENSG00000075856.11,SART3,protein coding
ENSG00000136003.15,ISCU,protein coding
ENSG00000183160.8,TMEM119,protein coding
ENSG00000110876.9,SELPLG,protein coding
ENSG00000110880.10,CORO1C,protein coding
ENSG00000084112.14,SSH1,protein coding
ENSG00000110887.7,DAO,protein coding
ENSG00000166111.9,SVOP,protein coding
ENSG00000135093.12,USP30,protein coding
ENSG00000189046.10,ALKBH2,protein coding
ENSG00000076248.10,UNG,protein coding
ENSG00000076555.15,ACACB,protein coding
ENSG00000139445.17,FOXN4,protein coding
ENSG00000174527.9,MYO1H,protein coding
ENSG00000110906.12,KCTD10,protein coding
ENSG00000151148.13,UBE3B,protein coding
ENSG00000139428.11,MMAB,protein coding
ENSG00000110921.13,MVK,protein coding
ENSG00000139438.5,FAM222A,protein coding
ENSG00000111199.10,TRPV4,protein coding
ENSG00000139433.9,GLTP,protein coding
ENSG00000139437.17,TCHP,protein coding
ENSG00000139436.20,GIT2,protein coding
ENSG00000076513.16,ANKRD13A,protein coding
ENSG00000174456.13,C12orf76,protein coding
ENSG00000122970.15,IFT81,protein coding
ENSG00000174437.16,ATP2A2,protein coding
ENSG00000196510.12,ANAPC7,protein coding
ENSG00000111229.15,ARPC3,protein coding
ENSG00000111231.8,GPN3,protein coding
ENSG00000204856.11,FAM216A,protein coding
ENSG00000111237.18,VPS29,protein coding
ENSG00000151164.18,RAD9B,protein coding
ENSG00000196850.5,PPTC7,protein coding
ENSG00000204852.15,TCTN1,protein coding
ENSG00000122986.13,HVCN1,protein coding
ENSG00000186298.11,PPP1CC,protein coding
ENSG00000173093.12,CCDC63,protein coding
ENSG00000111245.14,MYL2,protein coding
ENSG00000111249.13,CUX2,protein coding
ENSG00000198324.13,FAM109A,protein coding
ENSG00000111252.10,SH2B3,protein coding
ENSG00000204842.14,ATXN2,protein coding
ENSG00000089234.15,BRAP,protein coding
ENSG00000111271.14,ACAD10,protein coding
ENSG00000111275.12,ALDH2,protein coding
ENSG00000089022.13,MAPKAPK5,protein coding
ENSG00000198270.12,TMEM116,protein coding
ENSG00000089248.6,ERP29,protein coding
ENSG00000111300.9,NAA25,protein coding
ENSG00000135148.11,TRAFD1,protein coding
ENSG00000173064.12,HECTD4,protein coding
ENSG00000089009.15,RPL6,protein coding
ENSG00000179295.17,PTPN11,protein coding
ENSG00000089169.14,RPH3A,protein coding
ENSG00000089127.12,OAS1,protein coding
ENSG00000111331.12,OAS3,protein coding
ENSG00000111335.12,OAS2,protein coding
ENSG00000135144.7,DTX1,protein coding
ENSG00000111344.11,RASAL1,protein coding
ENSG00000186710.11,CFAP73,protein coding
ENSG00000123064.12,DDX54,protein coding
ENSG00000139405.15,RITA1,protein coding
ENSG00000166578.9,IQCD,protein coding
ENSG00000186815.12,TPCN1,protein coding
ENSG00000089060.11,SLC8B1,protein coding
ENSG00000151176.7,PLBD2,protein coding
ENSG00000135094.10,SDS,protein coding
ENSG00000139410.14,SDSL,protein coding
ENSG00000089116.3,LHX5,protein coding
ENSG00000122965.10,RBM19,protein coding
ENSG00000089225.19,TBX5,protein coding
ENSG00000135111.15,TBX3,protein coding
ENSG00000123066.7,MED13L,protein coding
ENSG00000258102.3,MAP1LC3B2,protein coding
ENSG00000111412.5,C12orf49,protein coding
ENSG00000135119.14,RNFT2,protein coding
ENSG00000135116.9,HRK,protein coding
ENSG00000174989.12,FBXW8,protein coding
ENSG00000088992.17,TESC,protein coding
ENSG00000135108.14,FBXO21,protein coding
ENSG00000089250.18,NOS1,protein coding
ENSG00000171435.13,KSR2,protein coding
ENSG00000111445.13,RFC5,protein coding
ENSG00000176871.8,WSB2,protein coding
ENSG00000176834.13,VSIG10,protein coding
ENSG00000089220.4,PEBP1,protein coding
ENSG00000135090.13,TAOK3,protein coding
ENSG00000111707.11,SUDS3,protein coding
ENSG00000139767.8,SRRM4,protein coding
ENSG00000152137.6,HSPB8,protein coding
ENSG00000183273.6,CCDC60,protein coding
ENSG00000224982.3,TMEM233,protein coding
ENSG00000111725.10,PRKAB1,protein coding
ENSG00000122966.15,CIT,protein coding
ENSG00000135127.11,BICDL1,protein coding
ENSG00000111737.11,RAB35,protein coding
ENSG00000089154.10,GCN1,protein coding
ENSG00000089157.15,RPLP0,protein coding
ENSG00000089159.16,PXN,protein coding
ENSG00000089163.4,SIRT4,protein coding
ENSG00000170890.13,PLA2G1B,protein coding
ENSG00000135097.6,MSI1,protein coding
ENSG00000111775.2,COX6A1,protein coding
ENSG00000170855.3,TRIAP1,protein coding
ENSG00000257218.5,GATC,protein coding
ENSG00000111786.8,SRSF9,protein coding
ENSG00000088986.10,DYNLL1,protein coding
ENSG00000110871.14,COQ5,protein coding
ENSG00000022840.15,RNF10,protein coding
ENSG00000167272.10,POP5,protein coding
ENSG00000157782.9,CABP1,protein coding
ENSG00000110917.7,MLEC,protein coding
ENSG00000175970.10,UNC119B,protein coding
ENSG00000122971.8,ACADS,protein coding
ENSG00000157837.15,SPPL3,protein coding
ENSG00000135100.17,HNF1A,protein coding
ENSG00000157895.11,C12orf43,protein coding
ENSG00000135114.12,OASL,protein coding
ENSG00000089041.16,P2RX7,protein coding
ENSG00000135124.14,P2RX4,protein coding
ENSG00000110931.18,CAMKK2,protein coding
ENSG00000089053.12,ANAPC5,protein coding
ENSG00000170633.16,RNF34,protein coding
ENSG00000089094.18,KDM2B,protein coding
ENSG00000276045.2,ORAI1,protein coding
ENSG00000139714.12,MORN3,protein coding
ENSG00000188735.12,TMEM120B,protein coding
ENSG00000139725.7,RHOF,protein coding
ENSG00000139718.10,SETD1B,protein coding
ENSG00000158104.11,HPD,protein coding
ENSG00000110801.13,PSMD9,protein coding
ENSG00000158023.9,WDR66,protein coding
ENSG00000110987.8,BCL7A,protein coding
ENSG00000175727.13,MLXIP,protein coding
ENSG00000158113.12,LRRC43,protein coding
ENSG00000204671.1,IL31,protein coding
ENSG00000176383.8,B3GNT4,protein coding
ENSG00000184047.16,DIABLO,protein coding
ENSG00000139719.9,VPS33A,protein coding
ENSG00000130779.19,CLIP1,protein coding
ENSG00000033030.13,ZCCHC8,protein coding
ENSG00000111011.17,RSRC2,protein coding
ENSG00000184445.11,KNTC1,protein coding
ENSG00000182782.7,HCAR2,protein coding
ENSG00000255398.2,HCAR3,protein coding
ENSG00000196917.5,HCAR1,protein coding
ENSG00000139726.10,DENR,protein coding
ENSG00000130783.13,CCDC62,protein coding
ENSG00000130787.13,HIP1R,protein coding
ENSG00000139722.6,VPS37B,protein coding
ENSG00000150967.17,ABCB9,protein coding
ENSG00000111325.16,OGFOD2,protein coding
ENSG00000182196.13,ARL6IP4,protein coding
ENSG00000090975.12,PITPNM2,protein coding
ENSG00000051825.14,MPHOSPH9,protein coding
ENSG00000130921.7,C12orf65,protein coding
ENSG00000111328.6,CDK2AP1,protein coding
ENSG00000139697.13,SBNO1,protein coding
ENSG00000183955.12,KMT5A,protein coding
ENSG00000150977.10,RILPL2,protein coding
ENSG00000184209.14,SNRNP35,protein coding
ENSG00000188026.12,RILPL1,protein coding
ENSG00000086598.10,TMED2,protein coding
ENSG00000111364.15,DDX55,protein coding
ENSG00000111361.12,EIF2B1,protein coding
ENSG00000111358.13,GTF2H3,protein coding
ENSG00000168778.11,TCTN2,protein coding
ENSG00000185344.13,ATP6V0A2,protein coding
ENSG00000197653.15,DNAH10,protein coding
ENSG00000119242.8,CCDC92,protein coding
ENSG00000250091.2,DNAH10OS,protein coding
ENSG00000179195.15,ZNF664,protein coding
ENSG00000178882.14,RFLNA,protein coding
ENSG00000196498.13,NCOR2,protein coding
ENSG00000073060.15,SCARB1,protein coding
ENSG00000150991.14,UBC,protein coding
ENSG00000150990.7,DHX37,protein coding
ENSG00000184992.10,BRI3BP,protein coding
ENSG00000081760.16,AACS,protein coding
ENSG00000139364.10,TMEM132B,protein coding
ENSG00000255595.2,RP4-809F18.1,protein coding
ENSG00000181234.9,TMEM132C,protein coding
ENSG00000139370.11,SLC15A4,protein coding
ENSG00000151948.11,GLT1D1,protein coding
ENSG00000151952.15,TMEM132D,protein coding
ENSG00000111432.4,FZD10,protein coding
ENSG00000125207.7,PIWIL1,protein coding
ENSG00000060709.14,RIMBP2,protein coding
ENSG00000111450.13,STX2,protein coding
ENSG00000132341.11,RAN,protein coding
ENSG00000111452.12,ADGRD1,protein coding
ENSG00000061936.9,SFSWAP,protein coding
ENSG00000198598.6,MMP17,protein coding
ENSG00000177169.9,ULK1,protein coding
ENSG00000177192.13,PUS1,protein coding
ENSG00000183495.13,EP400,protein coding
ENSG00000185684.12,EP400NL,protein coding
ENSG00000185163.9,DDX51,protein coding
ENSG00000184967.6,NOC4L,protein coding
ENSG00000182870.12,GALNT9,protein coding
ENSG00000112787.12,FBRSL1,protein coding
ENSG00000204583.9,LRCOL1,protein coding
ENSG00000187848.12,P2RX2,protein coding
ENSG00000177084.16,POLE,protein coding
ENSG00000176894.9,PXMP2,protein coding
ENSG00000247077.6,PGAM5,protein coding
ENSG00000176915.14,ANKLE2,protein coding
ENSG00000090615.14,GOLGA3,protein coding
ENSG00000072609.17,CHFR,protein coding
ENSG00000196458.10,ZNF605,protein coding
ENSG00000198393.7,ZNF26,protein coding
ENSG00000198040.10,ZNF84,protein coding
ENSG00000196387.9,ZNF140,protein coding
ENSG00000214029.4,ZNF891,protein coding
ENSG00000256223.5,ZNF10,protein coding
ENSG00000090612.20,ZNF268,protein coding
ENSG00000227059.6,ANHX,protein coding
ENSG00000198033.11,TUBA3C,protein coding
ENSG00000132958.17,TPTE2,protein coding
ENSG00000196199.13,MPHOSPH8,protein coding
ENSG00000121390.18,PSPC1,protein coding
ENSG00000132950.18,ZMYM5,protein coding
ENSG00000121741.16,ZMYM2,protein coding
ENSG00000121743.3,GJA3,protein coding
ENSG00000165474.5,GJB2,protein coding
ENSG00000121742.16,GJB6,protein coding
ENSG00000165475.13,CRYL1,protein coding
ENSG00000032742.17,IFT88,protein coding
ENSG00000172458.4,IL17D,protein coding
ENSG00000150456.10,EEF1AKMT1,protein coding
ENSG00000132953.16,XPO4,protein coding
ENSG00000150457.8,LATS2,protein coding
ENSG00000150459.12,SAP18,protein coding
ENSG00000165480.15,SKA3,protein coding
ENSG00000173141.4,MRPL57,protein coding
ENSG00000180776.15,ZDHHC20,protein coding
ENSG00000165487.13,MICU2,protein coding
ENSG00000102678.6,FGF9,protein coding
ENSG00000102683.7,SGCG,protein coding
ENSG00000151835.14,SACS,protein coding
ENSG00000127863.15,TNFRSF19,protein coding
ENSG00000027001.9,MIPEP,protein coding
ENSG00000205861.11,PCOTH,protein coding
ENSG00000205863.10,C1QTNF9B,protein coding
ENSG00000182957.15,SPATA13,protein coding
ENSG00000240654.6,C1QTNF9,protein coding
ENSG00000102699.5,PARP4,protein coding
ENSG00000075673.11,ATP12A,protein coding
ENSG00000132972.18,RNF17,protein coding
ENSG00000151849.14,CENPJ,protein coding
ENSG00000151846.8,PABPC3,protein coding
ENSG00000165566.12,AMER2,protein coding
ENSG00000139505.11,MTMR6,protein coding
ENSG00000139496.15,NUP58,protein coding
ENSG00000132932.16,ATP8A2,protein coding
ENSG00000180730.4,SHISA2,protein coding
ENSG00000127870.16,RNF6,protein coding
ENSG00000132964.11,CDK8,protein coding
ENSG00000132970.12,WASF3,protein coding
ENSG00000132975.7,GPR12,protein coding
ENSG00000152484.13,USP12,protein coding
ENSG00000122026.10,RPL21,protein coding
ENSG00000122035.6,RASL11A,protein coding
ENSG00000122034.14,GTF3A,protein coding
ENSG00000122033.14,MTIF3,protein coding
ENSG00000139517.7,LNX2,protein coding
ENSG00000186184.16,POLR1D,protein coding
ENSG00000169840.4,GSX1,protein coding
ENSG00000139515.5,PDX1,protein coding
ENSG00000180389.6,ATP5EP2,protein coding
ENSG00000165556.9,CDX2,protein coding
ENSG00000183463.5,URAD,protein coding
ENSG00000122025.14,FLT3,protein coding
ENSG00000152520.13,PAN3,protein coding
ENSG00000102755.11,FLT1,protein coding
ENSG00000132963.7,POMP,protein coding
ENSG00000139508.14,SLC46A3,protein coding
ENSG00000132938.19,MTUS2,protein coding
ENSG00000139514.12,SLC7A1,protein coding
ENSG00000122042.9,UBL3,protein coding
ENSG00000102781.13,KATNAL1,protein coding
ENSG00000236444.4,UBE2L5P,protein coding
ENSG00000189403.14,HMGB1,protein coding
ENSG00000132952.11,USPL1,protein coding
ENSG00000132965.9,ALOX5AP,protein coding
ENSG00000102802.9,MEDAG,protein coding
ENSG00000175664.9,TEX26,protein coding
ENSG00000120694.19,HSPH1,protein coding
ENSG00000187676.7,B3GLCT,protein coding
ENSG00000133105.7,RXFP2,protein coding
ENSG00000073910.19,FRY,protein coding
ENSG00000189167.11,ZAR1L,protein coding
ENSG00000139618.14,BRCA2,protein coding
ENSG00000139597.17,N4BP2L1,protein coding
ENSG00000244754.8,N4BP2L2,protein coding
ENSG00000083642.18,PDS5B,protein coding
ENSG00000133116.7,KL,protein coding
ENSG00000133121.20,STARD13,protein coding
ENSG00000133119.12,RFC3,protein coding
ENSG00000172915.18,NBEA,protein coding
ENSG00000180660.7,MAB21L1,protein coding
ENSG00000133083.14,DCLK1,protein coding
ENSG00000120669.15,SOHLH2,protein coding
ENSG00000242715.7,CCDC169,protein coding
ENSG00000133104.12,SPG20,protein coding
ENSG00000133101.9,CCNA1,protein coding
ENSG00000180440.3,SERTM1,protein coding
ENSG00000133111.3,RFXAP,protein coding
ENSG00000120693.13,SMAD9,protein coding
ENSG00000120697.8,ALG5,protein coding
ENSG00000120699.12,EXOSC8,protein coding
ENSG00000102710.19,SUPT20H,protein coding
ENSG00000180138.7,CSNK1A1L,protein coding
ENSG00000133110.14,POSTN,protein coding
ENSG00000133107.14,TRPC4,protein coding
ENSG00000120686.11,UFM1,protein coding
ENSG00000150893.10,FREM2,protein coding
ENSG00000133115.11,STOML3,protein coding
ENSG00000120685.19,PROSER1,protein coding
ENSG00000188811.13,NHLRC3,protein coding
ENSG00000183722.7,LHFP,protein coding
ENSG00000133103.16,COG6,protein coding
ENSG00000150907.7,FOXO1,protein coding
ENSG00000102738.7,MRPS31,protein coding
ENSG00000102743.14,SLC25A15,protein coding
ENSG00000120690.15,ELF1,protein coding
ENSG00000120688.8,WBP4,protein coding
ENSG00000165572.7,KBTBD6,protein coding
ENSG00000120696.8,KBTBD7,protein coding
ENSG00000120662.15,MTRF1,protein coding
ENSG00000172766.18,NAA16,protein coding
ENSG00000102760.12,RGCC,protein coding
ENSG00000102763.17,VWA8,protein coding
ENSG00000102780.16,DGKH,protein coding
ENSG00000023516.8,AKAP11,protein coding
ENSG00000120659.14,TNFSF11,protein coding
ENSG00000179813.6,FAM216B,protein coding
ENSG00000133106.14,EPSTI1,protein coding
ENSG00000120675.5,DNAJC15,protein coding
ENSG00000120658.13,ENOX1,protein coding
ENSG00000151773.12,CCDC122,protein coding
ENSG00000179630.10,LACC1,protein coding
ENSG00000139656.6,SMIM2,protein coding
ENSG00000151778.10,SERP2,protein coding
ENSG00000102804.14,TSC22D1,protein coding
ENSG00000083635.7,NUFIP1,protein coding
ENSG00000133114.17,GPALPP1,protein coding
ENSG00000188342.11,GTF2F2,protein coding
ENSG00000180332.6,KCTD4,protein coding
ENSG00000133112.16,TPT1,protein coding
ENSG00000174032.16,SLC25A30,protein coding
ENSG00000136152.14,COG3,protein coding
ENSG00000165837.11,ERICH6B,protein coding
ENSG00000174015.9,SPERT,protein coding
ENSG00000215475.4,SIAH3,protein coding
ENSG00000123200.16,ZC3H13,protein coding
ENSG00000080618.13,CPB2,protein coding
ENSG00000136167.13,LCP1,protein coding
ENSG00000173988.12,LRRC63,protein coding
ENSG00000102445.18,RUBCNL,protein coding
ENSG00000136141.14,LRCH1,protein coding
ENSG00000139684.13,ESD,protein coding
ENSG00000102468.10,HTR2A,protein coding
ENSG00000136143.14,SUCLA2,protein coding
ENSG00000136159.3,NUDT15,protein coding
ENSG00000136146.14,MED4,protein coding
ENSG00000136156.12,ITM2B,protein coding
ENSG00000139687.13,RB1,protein coding
ENSG00000139679.15,LPAR6,protein coding
ENSG00000136161.12,RCBTB2,protein coding
ENSG00000152207.7,CYSLTR2,protein coding
ENSG00000102531.16,FNDC3A,protein coding
ENSG00000102539.5,MLNR,protein coding
ENSG00000102543.14,CDADC1,protein coding
ENSG00000102547.18,CAB39L,protein coding
ENSG00000136169.16,SETDB2,protein coding
ENSG00000136147.17,PHF11,protein coding
ENSG00000136144.11,RCBTB1,protein coding
ENSG00000152213.3,ARL11,protein coding
ENSG00000123179.13,EBPL,protein coding
ENSG00000102753.9,KPNA3,protein coding
ENSG00000123178.14,SPRYD7,protein coding
ENSG00000204977.9,TRIM13,protein coding
ENSG00000198553.8,KCNRG,protein coding
ENSG00000176124.11,DLEU1,protein coding
ENSG00000186047.9,DLEU7,protein coding
ENSG00000136104.19,RNASEH2B,protein coding
ENSG00000226792.7,LINC00371,protein coding
ENSG00000150510.16,FAM124A,protein coding
ENSG00000253309.6,SERPINE3,protein coding
ENSG00000102786.14,INTS6,protein coding
ENSG00000139668.8,WDFY2,protein coding
ENSG00000102796.10,DHRS12,protein coding
ENSG00000281106.2,LINC00282,protein coding
ENSG00000123171.6,CCDC70,protein coding
ENSG00000123191.14,ATP7B,protein coding
ENSG00000253710.2,ALG11,protein coding
ENSG00000253797.2,UTP14C,protein coding
ENSG00000197168.11,NEK5,protein coding
ENSG00000136098.16,NEK3,protein coding
ENSG00000136114.15,THSD1,protein coding
ENSG00000136100.12,VPS36,protein coding
ENSG00000136108.14,CKAP2,protein coding
ENSG00000139675.11,HNRNPA1L2,protein coding
ENSG00000165416.14,SUGT1,protein coding
ENSG00000136110.12,CNMD,protein coding
ENSG00000136099.13,PCDH8,protein coding
ENSG00000102837.6,OLFM4,protein coding
ENSG00000204919.1,PRR20A,protein coding
ENSG00000204918.3,PRR20B,protein coding
ENSG00000229665.8,PRR20C,protein coding
ENSG00000227151.4,PRR20D,protein coding
ENSG00000234278.3,PRR20E,protein coding
ENSG00000118946.11,PCDH17,protein coding
ENSG00000139734.17,DIAPH3,protein coding
ENSG00000083544.13,TDRD3,protein coding
ENSG00000280165.1,PCDH20,protein coding
ENSG00000184226.14,PCDH9,protein coding
ENSG00000150361.11,KLHL1,protein coding
ENSG00000276644.4,DACH1,protein coding
ENSG00000204899.5,MZT1,protein coding
ENSG00000136122.15,BORA,protein coding
ENSG00000083520.14,DIS3,protein coding
ENSG00000083535.15,PIBF1,protein coding
ENSG00000102554.13,KLF5,protein coding
